"date","outbreak_group","outbreak_subgroup","number_ongoing_outbreaks"
2020-11-01,"Congregate Care","Hospitals",21
2020-11-01,"Congregate Care","Long-Term Care Homes",73
2020-11-01,"Congregate Care","Retirement Homes",51
2020-11-01,"Congregate Living","Correctional Facility",4
2020-11-01,"Congregate Living","Group Home/Supportive Housing",31
2020-11-01,"Congregate Living","Shelter",9
2020-11-01,"Congregate Living","Short-term accommodations",2
2020-11-01,"Education","Child care",39
2020-11-01,"Education","Elementary School",29
2020-11-01,"Education","Elementary/Secondary School",7
2020-11-01,"Education","Post-Secondary School",2
2020-11-01,"Education","Secondary School",7
2020-11-01,"Other/Unknown","Other",20
2020-11-01,"Other/Unknown","Unknown",7
2020-11-01,"Recreational","Bar/restaurant/nightclub",11
2020-11-01,"Recreational","Other recreation",6
2020-11-01,"Recreational","Recreational fitness",5
2020-11-01,"Workplace","Medical/Health Service",3
2020-11-01,"Workplace","Retail",1
2020-11-01,"Workplace","Farm",2
2020-11-01,"Workplace","Food Processing",11
2020-11-01,"Workplace","Workplace (Other)",120
2020-11-02,"Congregate Care","Hospitals",19
2020-11-02,"Congregate Care","Long-Term Care Homes",74
2020-11-02,"Congregate Care","Retirement Homes",51
2020-11-02,"Congregate Living","Correctional Facility",4
2020-11-02,"Congregate Living","Group Home/Supportive Housing",29
2020-11-02,"Congregate Living","Shelter",9
2020-11-02,"Congregate Living","Short-term accommodations",2
2020-11-02,"Education","Child care",40
2020-11-02,"Education","Elementary School",29
2020-11-02,"Education","Elementary/Secondary School",6
2020-11-02,"Education","Post-Secondary School",3
2020-11-02,"Education","Secondary School",6
2020-11-02,"Other/Unknown","Other",23
2020-11-02,"Other/Unknown","Unknown",8
2020-11-02,"Recreational","Bar/restaurant/nightclub",12
2020-11-02,"Recreational","Other recreation",6
2020-11-02,"Recreational","Recreational fitness",5
2020-11-02,"Workplace","Medical/Health Service",3
2020-11-02,"Workplace","Retail",1
2020-11-02,"Workplace","Farm",2
2020-11-02,"Workplace","Food Processing",11
2020-11-02,"Workplace","Workplace (Other)",118
2020-11-03,"Congregate Care","Hospitals",18
2020-11-03,"Congregate Care","Long-Term Care Homes",74
2020-11-03,"Congregate Care","Retirement Homes",55
2020-11-03,"Congregate Living","Congregate other",1
2020-11-03,"Congregate Living","Correctional Facility",4
2020-11-03,"Congregate Living","Group Home/Supportive Housing",31
2020-11-03,"Congregate Living","Shelter",8
2020-11-03,"Congregate Living","Short-term accommodations",2
2020-11-03,"Education","Child care",43
2020-11-03,"Education","Elementary School",36
2020-11-03,"Education","Elementary/Secondary School",2
2020-11-03,"Education","Post-Secondary School",2
2020-11-03,"Education","Secondary School",7
2020-11-03,"Other/Unknown","Other",18
2020-11-03,"Other/Unknown","Unknown",8
2020-11-03,"Recreational","Bar/restaurant/nightclub",11
2020-11-03,"Recreational","Other recreation",7
2020-11-03,"Recreational","Recreational fitness",9
2020-11-03,"Workplace","Medical/Health Service",4
2020-11-03,"Workplace","Retail",4
2020-11-03,"Workplace","Farm",2
2020-11-03,"Workplace","Food Processing",11
2020-11-03,"Workplace","Workplace (Other)",117
2020-11-04,"Congregate Care","Hospitals",19
2020-11-04,"Congregate Care","Long-Term Care Homes",76
2020-11-04,"Congregate Care","Retirement Homes",57
2020-11-04,"Congregate Living","Congregate other",2
2020-11-04,"Congregate Living","Correctional Facility",4
2020-11-04,"Congregate Living","Group Home/Supportive Housing",32
2020-11-04,"Congregate Living","Shelter",11
2020-11-04,"Congregate Living","Short-term accommodations",2
2020-11-04,"Education","Child care",43
2020-11-04,"Education","Elementary School",37
2020-11-04,"Education","Elementary/Secondary School",2
2020-11-04,"Education","Post-Secondary School",2
2020-11-04,"Education","Secondary School",10
2020-11-04,"Other/Unknown","Other",14
2020-11-04,"Other/Unknown","Unknown",1
2020-11-04,"Recreational","Bar/restaurant/nightclub",12
2020-11-04,"Recreational","Other recreation",16
2020-11-04,"Recreational","Personal service settings",1
2020-11-04,"Recreational","Recreational fitness",10
2020-11-04,"Workplace","Medical/Health Service",5
2020-11-04,"Workplace","Retail",6
2020-11-04,"Workplace","Farm",2
2020-11-04,"Workplace","Food Processing",11
2020-11-04,"Workplace","Workplace (Other)",117
2020-11-05,"Congregate Care","Hospitals",20
2020-11-05,"Congregate Care","Long-Term Care Homes",76
2020-11-05,"Congregate Care","Retirement Homes",58
2020-11-05,"Congregate Living","Congregate other",3
2020-11-05,"Congregate Living","Correctional Facility",4
2020-11-05,"Congregate Living","Group Home/Supportive Housing",30
2020-11-05,"Congregate Living","Shelter",12
2020-11-05,"Congregate Living","Short-term accommodations",2
2020-11-05,"Education","Child care",49
2020-11-05,"Education","Elementary School",36
2020-11-05,"Education","Elementary/Secondary School",2
2020-11-05,"Education","Post-Secondary School",2
2020-11-05,"Education","Secondary School",11
2020-11-05,"Other/Unknown","Other",15
2020-11-05,"Other/Unknown","Unknown",2
2020-11-05,"Recreational","Bar/restaurant/nightclub",12
2020-11-05,"Recreational","Other recreation",16
2020-11-05,"Recreational","Personal service settings",1
2020-11-05,"Recreational","Recreational fitness",9
2020-11-05,"Workplace","Medical/Health Service",6
2020-11-05,"Workplace","Retail",6
2020-11-05,"Workplace","Farm",2
2020-11-05,"Workplace","Food Processing",10
2020-11-05,"Workplace","Workplace (Other)",119
2020-11-06,"Congregate Care","Hospitals",21
2020-11-06,"Congregate Care","Long-Term Care Homes",80
2020-11-06,"Congregate Care","Retirement Homes",59
2020-11-06,"Congregate Living","Congregate other",5
2020-11-06,"Congregate Living","Correctional Facility",4
2020-11-06,"Congregate Living","Group Home/Supportive Housing",32
2020-11-06,"Congregate Living","Shelter",11
2020-11-06,"Congregate Living","Short-term accommodations",2
2020-11-06,"Education","Child care",50
2020-11-06,"Education","Elementary School",34
2020-11-06,"Education","Elementary/Secondary School",2
2020-11-06,"Education","Post-Secondary School",2
2020-11-06,"Education","Secondary School",12
2020-11-06,"Other/Unknown","Other",17
2020-11-06,"Other/Unknown","Unknown",2
2020-11-06,"Recreational","Bar/restaurant/nightclub",12
2020-11-06,"Recreational","Other recreation",16
2020-11-06,"Recreational","Personal service settings",1
2020-11-06,"Recreational","Recreational fitness",9
2020-11-06,"Workplace","Medical/Health Service",6
2020-11-06,"Workplace","Retail",6
2020-11-06,"Workplace","Farm",2
2020-11-06,"Workplace","Food Processing",10
2020-11-06,"Workplace","Workplace (Other)",122
2020-11-07,"Congregate Care","Hospitals",21
2020-11-07,"Congregate Care","Long-Term Care Homes",81
2020-11-07,"Congregate Care","Retirement Homes",64
2020-11-07,"Congregate Living","Congregate other",4
2020-11-07,"Congregate Living","Correctional Facility",4
2020-11-07,"Congregate Living","Group Home/Supportive Housing",32
2020-11-07,"Congregate Living","Shelter",12
2020-11-07,"Congregate Living","Short-term accommodations",2
2020-11-07,"Education","Child care",54
2020-11-07,"Education","Elementary School",41
2020-11-07,"Education","Elementary/Secondary School",3
2020-11-07,"Education","Post-Secondary School",2
2020-11-07,"Education","Secondary School",12
2020-11-07,"Other/Unknown","Other",11
2020-11-07,"Other/Unknown","Unknown",1
2020-11-07,"Recreational","Bar/restaurant/nightclub",13
2020-11-07,"Recreational","Other recreation",15
2020-11-07,"Recreational","Personal service settings",2
2020-11-07,"Recreational","Recreational fitness",10
2020-11-07,"Workplace","Medical/Health Service",6
2020-11-07,"Workplace","Retail",7
2020-11-07,"Workplace","Farm",4
2020-11-07,"Workplace","Food Processing",10
2020-11-07,"Workplace","Workplace (Other)",131
2020-11-08,"Congregate Care","Hospitals",23
2020-11-08,"Congregate Care","Long-Term Care Homes",78
2020-11-08,"Congregate Care","Retirement Homes",62
2020-11-08,"Congregate Living","Congregate other",5
2020-11-08,"Congregate Living","Correctional Facility",3
2020-11-08,"Congregate Living","Group Home/Supportive Housing",31
2020-11-08,"Congregate Living","Shelter",11
2020-11-08,"Congregate Living","Short-term accommodations",2
2020-11-08,"Education","Child care",53
2020-11-08,"Education","Elementary School",43
2020-11-08,"Education","Elementary/Secondary School",3
2020-11-08,"Education","Post-Secondary School",2
2020-11-08,"Education","Secondary School",13
2020-11-08,"Other/Unknown","Other",11
2020-11-08,"Other/Unknown","Unknown",3
2020-11-08,"Recreational","Bar/restaurant/nightclub",12
2020-11-08,"Recreational","Other recreation",15
2020-11-08,"Recreational","Personal service settings",2
2020-11-08,"Recreational","Recreational fitness",10
2020-11-08,"Workplace","Medical/Health Service",6
2020-11-08,"Workplace","Retail",6
2020-11-08,"Workplace","Farm",4
2020-11-08,"Workplace","Food Processing",10
2020-11-08,"Workplace","Workplace (Other)",127
2020-11-09,"Congregate Care","Hospitals",22
2020-11-09,"Congregate Care","Long-Term Care Homes",83
2020-11-09,"Congregate Care","Retirement Homes",62
2020-11-09,"Congregate Living","Congregate other",7
2020-11-09,"Congregate Living","Correctional Facility",3
2020-11-09,"Congregate Living","Group Home/Supportive Housing",31
2020-11-09,"Congregate Living","Shelter",11
2020-11-09,"Congregate Living","Short-term accommodations",2
2020-11-09,"Education","Child care",52
2020-11-09,"Education","Elementary School",46
