"Reported.Date","Confirmed.Negative","Presumptive.Negative","Presumptive.Positive","Confirmed.Positive","Resolved","Deaths","Total.Cases","Total.patients.approved.for.testing.as.of.Reporting.Date","Total.tests.completed.in.the.last.day","Percent.positive.tests.in.last.day","Under.Investigation","Number.of.patients.hospitalized.with.COVID.19","Number.of.patients.in.ICU.due.to.COVID.19","Number.of.patients.in.ICU..testing.positive.for.COVID.19","Number.of.patients.in.ICU..testing.negative.for.COVID.19","Number.of.patients.in.ICU.on.a.ventilator.due.to.COVID.19","Num..of.patients.in.ICU.on.a.ventilator.testing.positive","Num..of.patients.in.ICU.on.a.ventilator.testing.negative","Total.Positive.LTC.Resident.Cases","Total.Positive.LTC.HCW.Cases","Total.LTC.Resident.Deaths","Total.LTC.HCW.Deaths","Total_Lineage_B.1.1.7","Total_Lineage_B.1.351","Total_Lineage_P.1"
2020-01-26,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-27,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-28,NA,NA,1,1,NA,NA,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-30,NA,NA,0,2,NA,NA,2,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-31,NA,NA,0,2,NA,NA,2,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-03,NA,NA,0,3,NA,NA,3,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-04,90,12,0,3,NA,NA,3,139,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-05,96,8,0,3,NA,NA,3,150,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-06,104,0,0,3,NA,NA,3,169,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-08,130,25,0,3,NA,NA,3,197,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-10,167,81,0,3,NA,NA,3,259,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-11,184,79,0,3,NA,NA,3,285,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
